1971	167
1972	202
1973	176
1974	172
1975	198
1976	178
1977	168
1978	177
1979	162
1980	159
1981	150
1982	147
1983	155
1984	155
1985	142
1986	132
1987	127
1988	124
1989	118
1990	99
1991	97
1992	98
1993	94
1994	88
1995	86
1996	85
1997	85
1998	85
1999	84
2000	83
2001	83
2002	80
2003	76
2004	72
2005	73
2006	71
2007	69
2008	67
2009	63
2010	61
2011	57
2012	53
